unique_key,created_date,agency,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,borough,x_coordinate_state_plane,y_coordinate_state_plane,latitude,longitude,location
59904032,2024-01-02T07:07:01.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10455,600 TRINITY AVENUE,TRINITY AVENUE,NA,NA,NA,NA,ADDRESS,BRONX,NA,BRONX,1009258,236005,40.81441955223652,-73.90965477441011,"
,  
(40.81441955223652, -73.90965477441011)"
59910491,2024-01-02T07:06:59.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11225,1789 BEDFORD AVENUE,BEDFORD AVENUE,NA,NA,NA,NA,ADDRESS,BROOKLYN,NA,BROOKLYN,996162,180565,40.66227791840826,-73.95706423587505,"
,  
(40.66227791840826, -73.95706423587505)"
59904107,2024-01-02T07:06:42.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10468,2625 GRAND CONCOURSE,GRAND CONCOURSE,NA,NA,NA,NA,ADDRESS,BRONX,NA,BRONX,1013268,254494,40.865154176445884,-73.89508805180566,"
,  
(40.865154176445884, -73.89508805180566)"
59905366,2024-01-02T07:06:27.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10456,371 EAST  165 STREET,EAST  165 STREET,NA,NA,NA,NA,ADDRESS,BRONX,NA,BRONX,1008269,241043,40.828250176321184,-73.91320965292677,"
,  
(40.828250176321184, -73.91320965292677)"
59901567,2024-01-02T07:06:25.000,HPD,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10308,3974 AMBOY ROAD,AMBOY ROAD,NA,NA,NA,NA,ADDRESS,STATEN ISLAND,NA,STATEN ISLAND,942481,139924,40.550636352813754,-74.15030123303485,"
,  
(40.550636352813754, -74.15030123303485)"
59904129,2024-01-02T07:06:25.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11374,94-19 66 AVENUE,66 AVENUE,NA,NA,NA,NA,ADDRESS,REGO PARK,NA,QUEENS,1023710,203491,40.72512447911726,-73.8576356893014,"
,  
(40.72512447911726, -73.8576356893014)"
59903628,2024-01-02T07:06:00.000,NYPD,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10468,120 EAST  184 STREET,EAST  184 STREET,MORRIS AVENUE,CRESTON AVENUE,MORRIS AVENUE,CRESTON AVENUE,ADDRESS,BRONX,EAST  184 STREET,BRONX,1011867,252524,40.85975161889327,-73.90016135346927,"
,  
(40.85975161889327, -73.90016135346927)"
59903790,2024-01-02T07:06:00.000,DOT,Traffic Signal Condition,Controller,NA,11222,NA,NA,NA,NA,BEDFORD AVENUE,MANHATTAN AVENUE,INTERSECTION,BROOKLYN,NA,BROOKLYN,997838,203089,40.72409866269384,-73.95097780722291,"
,  
(40.72409866269384, -73.95097780722291)"
59907157,2024-01-02T07:05:55.000,NYPD,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11229,2058 BATCHELDER STREET,BATCHELDER STREET,AVENUE T,AVENUE U,AVENUE T,AVENUE U,ADDRESS,BROOKLYN,BATCHELDER STREET,BROOKLYN,1001127,158481,40.601653957982215,-73.93922355941876,"
,  
(40.601653957982215, -73.93922355941876)"
59906248,2024-01-02T07:05:47.000,NYPD,Blocked Driveway,No Access,Street/Sidewalk,11435,139-17 101 AVENUE,101 AVENUE,CRESSKILL PLACE,BRISBIN STREET,CRESSKILL PLACE,BRISBIN STREET,ADDRESS,JAMAICA,101 AVENUE,QUEENS,1037196,192458,40.6947711449294,-73.80906761573097,"
,  
(40.6947711449294, -73.80906761573097)"
59906187,2024-01-02T07:05:46.000,NYPD,Noise - Vehicle,Engine Idling,Street/Sidewalk,11105,21-27 32 STREET,32 STREET,DEAD END,DITMARS BOULEVARD,DEAD END,DITMARS BOULEVARD,ADDRESS,ASTORIA,32 STREET,QUEENS,1009431,222293,40.77678335972793,-73.90908120093695,"
,  
(40.77678335972793, -73.90908120093695)"
59921950,2024-01-02T07:05:37.000,DOT,Street Condition,Pothole,NA,10466,909 EAST  223 STREET,EAST  223 STREET,BRONXWOOD AVENUE,PAULDING AVENUE,NA,NA,ADDRESS,BRONX,NA,BRONX,1024362,261520,40.88439491668449,-73.85493669765718,"
,  
(40.88439491668449, -73.85493669765718)"
