OBJECTID,Shape_Leng,Shape_Area,Zone,LocationID,Borough,lon,lat
1,0.116357453189,7.823067885e-4,Newark Airport,1,EWR,935996.8210162065,191376.74953083202
2,0.43346966679,0.00486634037837,Jamaica Bay,2,Queens,1031085.7186032843,164018.75440320166
3,0.0843411059012,3.14414156821e-4,Allerton/Pelham Gardens,3,Bronx,1026452.6168734727,254265.47865856893
4,0.0435665270921,1.11871946192e-4,Alphabet City,4,Manhattan,990633.9806410479,202959.7823911368
5,0.0921464898574,4.97957489363e-4,Arden Heights,5,Staten Island,931871.3700680139,140681.35137597343
6,0.150490542523,6.06460984581e-4,Arrochar/Fort Wadsworth,6,Staten Island,964319.735448061,157998.9356119239
7,0.107417171123,3.89787989274e-4,Astoria,7,Queens,1006496.6791586807,216719.21816867893
8,0.0275906911574,2.6587716279e-5,Astoria Park,8,Queens,1005551.5711778702,222936.08755158543
9,0.0997840924705,3.38443803197e-4,Auburndale,9,Queens,1043002.6774243254,212969.8490136597
10,0.0998394794152,4.35823818081e-4,Baisley Park,10,Queens,1042223.6050722591,186706.49646915717
11,0.0792110389596,2.6452053504e-4,Bath Beach,11,Brooklyn,982170.7832338787,159429.3168836981
12,0.0366613013579,4.15116236727e-5,Battery Park,12,Manhattan,979934.7305677243,195378.9728508775
13,0.0502813228631,1.49358592917e-4,Battery Park City,13,Manhattan,979792.331028984,198691.52543753176
14,0.175213698053,0.00138177826442,Bay Ridge,14,Brooklyn,975952.0350819234,166921.55042206828
15,0.14433622262,9.25219395547e-4,Bay Terrace/Fort Totten,15,Queens,1043521.3830455702,224738.6129755755
16,0.141291873771,8.71889446182e-4,Bayside,16,Queens,1047016.784330188,217243.7604961802
17,0.093522632948,3.22957654799e-4,Bedford,17,Brooklyn,998142.2060786379,191215.0683591191
18,0.0697995498569,1.48850163948e-4,Bedford Park,18,Bronx,1014623.3272763422,255416.74215301158
19,0.101824875452,5.46661094782e-4,Bellerose,19,Queens,1060002.7496102,207352.35251648712
20,0.0514401924362,1.34512633032e-4,Belmont,20,Bronx,1015821.8614530906,251810.303512513
21,0.115973569062,3.80251345507e-4,Bensonhurst East,21,Brooklyn,988821.3915776814,158393.65778602433
22,0.126170229196,4.72062684608e-4,Bensonhurst West,22,Brooklyn,985566.4176542887,162323.8287235864
23,0.290556028962,0.00219556576201,Bloomfield/Emerson Hill,23,Staten Island,936800.3814228631,160268.1237133335
24,0.0469999619287,6.07235737749e-5,Bloomingdale,24,Manhattan,993807.2716583572,231458.3760559646
25,0.0471458199319,1.24168267356e-4,Boerum Hill,25,Brooklyn,988101.2213261976,189071.57913936634
26,0.12354780707,5.34039927626e-4,Borough Park,26,Brooklyn,987397.4626662626,169148.40746897226
27,0.202508808518,0.00134088762746,Breezy Point/Fort Tilden/Riis Beach,27,Queens,1010116.0525911167,142998.097106859
28,0.097960782214,2.91203927662e-4,Briarwood/Jamaica Hills,28,Queens,1037276.450260145,198588.18036389697
29,0.0714083127733,2.01673837402e-4,Brighton Beach,29,Brooklyn,995023.0950078965,150924.27687794657
30,0.0945097669793,1.45862107626e-4,Broad Channel,30,Queens,1033697.3819386285,159266.0868838442
31,0.0964245666516,3.33975927329e-4,Bronx Park,31,Bronx,1018696.4006329516,251801.91339506747
32,0.05426721601,1.50879171971e-4,Bronxdale,32,Bronx,1021618.2183901309,254085.68414675994
33,0.0532702931967,1.47416802448e-4,Brooklyn Heights,33,Brooklyn,985567.1393607879,192774.49236567307
34,0.0657059323545,1.73946146651e-4,Brooklyn Navy Yard,34,Brooklyn,992238.7448684232,194618.42574558523
35,0.085787918592,3.23825195932e-4,Brownsville,35,Brooklyn,1009147.2314989058,181203.32110491273
36,0.0870507867063,2.47666139269e-4,Bushwick North,36,Brooklyn,1007067.3784547453,194506.2645740725
37,0.142810040466,4.52062644782e-4,Bushwick South,37,Brooklyn,1005813.8376355437,192491.0725491703
38,0.0832175685234,3.27392684821e-4,Cambria Heights,38,Queens,1057581.8857305443,192354.37534157524
39,0.132369620757,9.0028293862e-4,Canarsie,39,Brooklyn,1012077.4831532118,171746.3489405953
40,0.0518506648762,1.08949211644e-4,Carroll Gardens,40,Brooklyn,985371.6110268093,186726.9441730333
41,0.052793109453,1.43093037737e-4,Central Harlem,41,Manhattan,997734.6452331402,232321.2905475168
42,0.0927092274616,2.63896952605e-4,Central Harlem North,42,Manhattan,1000643.632259087,237395.8715478042
43,0.0997386183576,3.79662912054e-4,Central Park,43,Manhattan,993789.0096985319,224356.21221165065
44,0.235688967594,0.00194465649192,Charleston/Tottenville,44,Staten Island,919325.6707014753,130813.71730920512
45,0.0459068626235,9.13594688556e-5,Chinatown,45,Manhattan,984762.4692829204,198844.63611660182
46,0.134475429879,9.26391677672e-4,City Island,46,Bronx,1044565.4049743084,248697.32700109552
47,0.0898275563294,1.63198117339e-4,Claremont/Bathgate,47,Bronx,1011831.0101993148,246329.04426500178
48,0.0437467441431,9.42538425377e-5,Clinton East,48,Manhattan,987063.1857021254,216986.07003374878
49,0.0752900183427,2.03185525471e-4,Clinton Hill,49,Brooklyn,994687.7989075348,189923.67993134004
50,0.0557479867536,1.73249283326e-4,Clinton West,50,Manhattan,985597.5343919232,218437.82028573466
51,0.0953613442277,3.95756553505e-4,Co-Op City,51,Bronx,1031744.9710915012,257736.0317728284
52,0.0289076710093,4.52027509603e-5,Cobble Hill,52,Brooklyn,985158.534254694,189441.98718140792
53,0.161500913385,9.47530980821e-4,College Point,53,Queens,1027782.0265390344,223823.08273507966
54,0.0762192448554,1.32452130536e-4,Columbia Street,54,Brooklyn,983442.5831941621,189642.16029755108
55,0.149956807524,7.36274713586e-4,Coney Island,55,Brooklyn,987599.1763107228,149479.23529518777
56,0.0568478126677,1.80907844436e-4,Corona,56,Queens,1023365.172611275,209422.59485546063
57,0.0192705048557,1.80259807917e-5,Corona,56,Queens,1024817.4538048006,213218.63492433997
58,0.0598554094851,2.04980931361e-4,Country Club,58,Bronx,1033945.7966954281,245891.95429244667
59,0.0377948070893,6.28765230648e-5,Crotona Park,59,Bronx,1013307.8668851721,244801.2399171087
60,0.0786482878226,1.61833284912e-4,Crotona Park East,60,Bronx,1015824.0717104394,243143.05780958594
61,0.117310808097,5.10772092295e-4,Crown Heights North,61,Brooklyn,1001091.0141538235,185009.74769500326
62,0.0822593359838,1.58238169004e-4,Crown Heights South,62,Brooklyn,998457.1474750465,182119.2885742171
63,0.119100721883,3.53190910142e-4,Cypress Hills,63,Brooklyn,1018038.508018096,188441.23189381982
64,0.18445188474,0.00105790284614,Douglaston,64,Queens,1056461.1692268404,216496.53369807045
65,0.0446070683658,8.1803882541e-5,Downtown Brooklyn/MetroTech,65,Brooklyn,988108.3766447257,192606.94834778874
66,0.0546334593634,1.08378855948e-4,DUMBO/Vinegar Hill,66,Brooklyn,988214.5459807585,195128.66351404483
67,0.0997470781551,3.94282272487e-4,Dyker Heights,67,Brooklyn,980418.277887647,165020.58539900745
68,0.0493373795569,1.11073378655e-4,East Chelsea,68,Manhattan,984272.7786326221,211948.91240008172
69,0.0789896450483,1.9905160381e-4,East Concourse/Concourse Village,69,Bronx,1007764.085658132,242196.03761468016
70,0.0638403183367,1.95458476728e-4,East Elmhurst,70,Queens,1020706.745137329,217413.87058175215
71,0.0931694551828,3.82572587364e-4,East Flatbush/Farragut,71,Brooklyn,1001465.1562155226,174013.8443005886
72,0.0952020695166,3.23532461947e-4,East Flatbush/Remsen Village,72,Brooklyn,1005823.7039946363,176959.91492476902
73,0.0853020209129,2.91799754395e-4,East Flushing,73,Queens,1037640.2378106113,214077.6206734465
74,0.11029093625,2.95038418204e-4,East Harlem North,74,Manhattan,1001596.4822018786,231170.7231356335
75,0.0876638997685,2.4056392715e-4,East Harlem South,75,Manhattan,999272.1113831651,227103.7596245498
76,0.241203016269,0.00126660143241,East New York,76,Brooklyn,1018425.395770319,180096.55428265326
77,0.075461081444,1.91917981315e-4,East New York/Pennsylvania Avenue,77,Brooklyn,1013278.1286526012,182139.0472945757
78,0.0935944495806,1.91114419551e-4,East Tremont,78,Bronx,1015923.6509313948,247139.97024585522
